,iid,gender,partner,pid,match,samerace,age_o,race_o,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,race,imprace,imprelig,income,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
30,4,0,1,11.0,0,1,27.0,2.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0,2.0,23.0,1.0,2.0,1.0,1.0,37754.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
31,4,0,2,12.0,0,1,22.0,2.0,0.0,0.0,40.0,0.0,0.0,5.0,10.0,6.0,6.0,5.0,6.0,3.0,1.0,23.0,1.0,2.0,1.0,1.0,37754.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
33,4,0,4,14.0,1,1,23.0,2.0,5.0,15.0,40.0,5.0,5.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0,1.0,23.0,1.0,2.0,1.0,1.0,37754.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
34,4,0,5,15.0,0,0,24.0,3.0,10.0,20.0,10.0,10.0,20.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,2.0,23.0,1.0,2.0,1.0,1.0,37754.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
35,4,0,6,16.0,0,1,25.0,2.0,0.0,30.0,10.0,0.0,10.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,2.0,23.0,1.0,2.0,1.0,1.0,37754.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
36,4,0,7,17.0,0,1,30.0,2.0,15.0,25.0,10.0,5.0,10.0,6.0,3.0,5.0,6.0,5.0,6.0,4.0,2.0,23.0,1.0,2.0,1.0,1.0,37754.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
37,4,0,8,18.0,0,1,27.0,2.0,11.11,11.11,11.11,11.11,22.22,7.0,8.0,6.0,6.0,5.0,7.0,7.0,2.0,23.0,1.0,2.0,1.0,1.0,37754.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
38,4,0,9,19.0,1,1,28.0,2.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,10.0,9.0,10.0,8.0,8.0,2.0,23.0,1.0,2.0,1.0,1.0,37754.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
39,4,0,10,20.0,0,1,24.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,2.0,23.0,1.0,2.0,1.0,1.0,37754.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
40,5,0,1,11.0,0,1,27.0,2.0,20.0,20.0,20.0,0.0,5.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,2.0,21.0,1.0,2.0,8.0,1.0,86340.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
